date,price
08.11.2013,104
11.11.2013,105
12.11.2013,106
13.11.2013,106
14.11.2013,108
15.11.2013,108
18.11.2013,108
19.11.2013,108
20.11.2013,108
21.11.2013,109
22.11.2013,111
25.11.2013,110
26.11.2013,112
27.11.2013,111
29.11.2013,111
02.12.2013,111
03.12.2013,113
04.12.2013,113
05.12.2013,112
06.12.2013,111
09.12.2013,110
10.12.2013,108
11.12.2013,109
12.12.2013,108
13.12.2013,108
16.12.2013,110
17.12.2013,108
18.12.2013,109
19.12.2013,110
20.12.2013,112
23.12.2013,111
24.12.2013,111
26.12.2013,111
27.12.2013,112
30.12.2013,110
31.12.2013,109
02.01.2014,107
03.01.2014,106
06.01.2014,106
07.01.2014,107
08.01.2014,107
09.01.2014,107
10.01.2014,106
13.01.2014,108
14.01.2014,107
15.01.2014,108
16.01.2014,107
17.01.2014,108
20.01.2014,108
21.01.2014,109
22.01.2014,109
23.01.2014,109
24.01.2014,109
27.01.2014,108
28.01.2014,109
29.01.2014,108
30.01.2014,109
31.01.2014,108
03.02.2014,106
04.02.2014,107
05.02.2014,106
06.02.2014,108
07.02.2014,110
10.02.2014,110
11.02.2014,109
12.02.2014,108
13.02.2014,108
14.02.2014,108
18.02.2014,110
19.02.2014,110
20.02.2014,109
21.02.2014,109
24.02.2014,109
25.02.2014,109
26.02.2014,109
27.02.2014,108
28.02.2014,108
03.03.2014,111
04.03.2014,109
05.03.2014,108
06.03.2014,107
07.03.2014,109
10.03.2014,108
11.03.2014,108
12.03.2014,107
13.03.2014,107
14.03.2014,108
17.03.2014,106
18.03.2014,106
19.03.2014,105
20.03.2014,105
21.03.2014,107
24.03.2014,106
25.03.2014,107
26.03.2014,105
27.03.2014,106
28.03.2014,106
31.03.2014,105
01.04.2014,105
02.04.2014,103
03.04.2014,104
04.04.2014,106
07.04.2014,104
08.04.2014,105
09.04.2014,107
10.04.2014,107
11.04.2014,107
14.04.2014,107
15.04.2014,109
16.04.2014,109
17.04.2014,109
21.04.2014,109
22.04.2014,108
23.04.2014,108
24.04.2014,109
25.04.2014,109
28.04.2014,109
29.04.2014,109
30.04.2014,108
01.05.2014,108
02.05.2014,109
05.05.2014,109
06.05.2014,108
07.05.2014,108
08.05.2014,108
09.05.2014,108
12.05.2014,108
13.05.2014,108
14.05.2014,109
15.05.2014,109
16.05.2014,110
19.05.2014,110
20.05.2014,110
21.05.2014,111
22.05.2014,110
23.05.2014,110
26.05.2014,110
27.05.2014,109
28.05.2014,109
29.05.2014,109
30.05.2014,109
02.06.2014,109
03.06.2014,108
04.06.2014,109
05.06.2014,108
06.06.2014,109
09.06.2014,110
10.06.2014,109
11.06.2014,109
12.06.2014,112
13.06.2014,113
16.06.2014,113
17.06.2014,114
18.06.2014,114
19.06.2014,115
20.06.2014,114
23.06.2014,113
24.06.2014,113
25.06.2014,112
26.06.2014,112
27.06.2014,112
30.06.2014,111
01.07.2014,110
02.07.2014,110
03.07.2014,108
07.07.2014,108
08.07.2014,107
09.07.2014,106
10.07.2014,106
11.07.2014,105
14.07.2014,104
15.07.2014,104
16.07.2014,105
17.07.2014,106
18.07.2014,106
21.07.2014,105
22.07.2014,106
23.07.2014,106
24.07.2014,105
25.07.2014,106
28.07.2014,106
29.07.2014,106
30.07.2014,106
31.07.2014,104
01.08.2014,103
04.08.2014,103
05.08.2014,102
06.08.2014,104
07.08.2014,104
08.08.2014,103
11.08.2014,103
12.08.2014,101
13.08.2014,102
14.08.2014,101
15.08.2014,101
18.08.2014,99
19.08.2014,99
20.08.2014,99
21.08.2014,100
22.08.2014,100
25.08.2014,100
26.08.2014,100
27.08.2014,100
28.08.2014,100
29.08.2014,101
02.09.2014,100
03.09.2014,100
04.09.2014,101
05.09.2014,99
08.09.2014,99
09.09.2014,98
10.09.2014,96
11.09.2014,96
12.09.2014,96
15.09.2014,96
16.09.2014,97
17.09.2014,97
18.09.2014,96
19.09.2014,96
22.09.2014,95
23.09.2014,94
24.09.2014,94
25.09.2014,95
26.09.2014,95
29.09.2014,95
30.09.2014,94
01.10.2014,94
02.10.2014,91
03.10.2014,90
06.10.2014,90
07.10.2014,90
08.10.2014,90
09.10.2014,90
10.10.2014,88
13.10.2014,87
14.10.2014,86
15.10.2014,84
16.10.2014,84
17.10.2014,85
20.10.2014,84
21.10.2014,85
22.10.2014,86
23.10.2014,85
24.10.2014,86
27.10.2014,85
28.10.2014,85
29.10.2014,86
30.10.2014,85
31.10.2014,84
03.11.2014,84
04.11.2014,82
05.11.2014,82
06.11.2014,82
07.11.2014,83
10.11.2014,82
11.11.2014,80
12.11.2014,80
13.11.2014,77
14.11.2014,77
17.11.2014,76
18.11.2014,77
19.11.2014,77
20.11.2014,77
21.11.2014,79
24.11.2014,79
25.11.2014,77
26.11.2014,77
28.11.2014,71
01.12.2014,70
02.12.2014,71
03.12.2014,70
04.12.2014,68
05.12.2014,68
08.12.2014,65
09.12.2014,66
10.12.2014,63
11.12.2014,63
12.12.2014,61
15.12.2014,61
16.12.2014,60
17.12.2014,59
18.12.2014,58
19.12.2014,58
22.12.2014,58
23.12.2014,59
24.12.2014,58
26.12.2014,58
29.12.2014,57
30.12.2014,55
31.12.2014,55
02.01.2015,55
05.01.2015,51
06.01.2015,50
07.01.2015,49
08.01.2015,49
09.01.2015,47
12.01.2015,46
13.01.2015,45
14.01.2015,45
15.01.2015,47
16.01.2015,47
20.01.2015,46
21.01.2015,46
22.01.2015,46
23.01.2015,46
26.01.2015,46
27.01.2015,46
28.01.2015,47
29.01.2015,46
30.01.2015,47
02.02.2015,51
03.02.2015,54
04.02.2015,55
05.02.2015,55
06.02.2015,55
09.02.2015,57
10.02.2015,55
11.02.2015,53
12.02.2015,56
13.02.2015,60
16.02.2015,61
